Raman Shift (1/cm),Intensity (Counts)
655.137,1518
655.618,1516
656.1,1514
656.582,1483
657.063,1520
657.545,1506
658.028,1504
658.51,1529
658.991,1524
659.473,1530
659.954,1537
660.436,1511
660.917,1522
661.398,1497
661.88,1516
662.361,1534
662.842,1519
663.323,1496
663.805,1509
664.286,1520
664.767,1530
665.248,1507
665.729,1516
666.21,1516
666.691,1521
667.172,1521
667.654,1531
668.134,1502
668.615,1526
669.096,1536
669.577,1529
670.058,1486
670.539,1511
671.018,1516
671.499,1520
671.979,1554
672.46,1516
672.941,1537
673.422,1500
673.902,1534
674.383,1527
674.864,1539
675.344,1517
675.823,1540
676.303,1506
676.784,1520
677.264,1494
677.745,1516
678.225,1521
678.704,1528
679.184,1525
679.665,1528
680.145,1533
680.625,1552
681.104,1540
681.584,1506
682.064,1541
682.544,1507
683.025,1550
683.503,1504
683.983,1525
684.463,1528
684.943,1553
685.421,1550
685.901,1516
686.381,1556
686.861,1553
687.339,1516
687.819,1526
688.299,1574
688.779,1527
689.257,1546
689.737,1516
690.217,1544
690.694,1521
691.174,1507
691.654,1558
692.132,1546
692.611,1550
693.091,1521
693.569,1508
694.048,1540
694.528,1528
695.005,1548
695.485,1566
695.962,1524
696.442,1524
696.921,1541
697.399,1527
697.878,1544
698.356,1552
698.835,1529
699.314,1524
699.792,1534
700.271,1526
700.748,1556
701.227,1568
701.705,1537
702.184,1530
702.663,1532
703.14,1528
703.619,1575
704.096,1517
704.575,1524
705.052,1536
705.531,1563
706.008,1522
706.487,1538
706.964,1556
707.443,1562
707.92,1574
708.399,1494
708.876,1534
709.353,1529
709.831,1517
710.308,1527
710.787,1508
711.264,1519
711.742,1543
712.219,1539
712.698,1526
713.174,1500
713.651,1509
714.129,1503
714.606,1525
715.084,1507
715.561,1522
716.037,1523
716.516,1524
716.992,1526
717.468,1508
717.947,1545
718.423,1529
718.899,1553
719.378,1529
719.854,1527
720.33,1520
720.808,1557
721.285,1528
721.761,1540
722.239,1518
722.715,1509
723.191,1531
723.667,1519
724.145,1528
724.621,1530
725.097,1555
725.575,1532
726.051,1533
726.527,1530
727.003,1537
727.481,1531
727.956,1527
728.432,1518
728.908,1508
729.384,1532
729.862,1534
730.337,1545
730.813,1545
731.289,1527
731.764,1512
732.242,1526
732.717,1536
733.193,1516
733.668,1550
734.144,1532
734.619,1518
735.097,1534
735.572,1566
736.048,1526
736.523,1536
736.998,1550
737.474,1535
737.949,1544
738.424,1556
738.9,1536
739.377,1569
739.852,1540
740.327,1530
740.802,1506
741.278,1538
741.753,1567
742.228,1556
742.703,1550
743.178,1517
743.653,1526
744.128,1553
744.603,1572
745.078,1553
745.553,1556
746.027,1560
746.502,1546
746.977,1558
747.452,1553
747.927,1584
748.401,1564
748.876,1563
749.351,1603
749.826,1561
750.3,1599
750.775,1571
751.249,1559
751.724,1578
752.199,1601
752.673,1555
753.148,1607
753.62,1580
754.095,1556
754.569,1568
755.043,1589.64
755.518,1586.79
755.992,1590.86
756.466,1559.88
756.941,1556.8
757.415,1552.33
757.887,1581.21
758.362,1596.67
758.836,1577.73
759.31,1573.73
759.784,1592.05
760.258,1577.11
760.73,1590.54
761.204,1573.46
761.678,1606.63
762.152,1564.14
762.626,1584.33
763.098,1565.11
763.572,1573.03
764.046,1594.69
764.52,1566.93
764.994,1558.25
765.466,1577.77
765.94,1581.14
766.414,1592.49
766.887,1594.12
767.359,1580.3
767.833,1599.86
768.307,1596.95
768.778,1597.11
769.252,1593.71
769.726,1590.61
