Raman Shift (1/cm),Intensity (Counts)
625.673,2939
626.156,2957
626.639,2980
627.125,2951
627.608,2973
628.093,3005
628.576,2873
629.061,2955
629.544,2957
630.027,3025
630.512,2960
630.995,2951
631.48,3002
631.963,2937
632.446,3013
632.931,2989
633.414,3057
633.898,2959
634.381,2952
634.864,2937
635.349,2941
635.831,2988
636.314,2984
636.799,2985
637.281,3001
637.764,2980
638.249,3015
638.731,2968
639.214,2948
639.696,3022
640.181,2971
640.663,2965
641.146,3015
641.63,2988
642.112,2955
642.595,2944
643.077,2996
643.561,3019
644.044,2994
644.526,2980
645.008,3008
645.492,3016
645.974,3006
646.456,2965
646.939,2991
647.421,2996
647.905,2963
648.387,3044
648.869,2979
649.351,3037
649.833,3021
650.317,3030
650.799,2950
651.281,3012
651.762,2966
652.244,3035
652.726,3080
653.208,3059
653.692,3043
654.173,3017
654.655,3029
655.137,3068
655.618,2970
656.1,3065
656.582,3044
657.063,3036
657.545,3044
658.028,2996
658.51,3015
658.991,3049
659.473,2996
659.954,3004
660.436,3062
660.917,3053
661.398,3020
661.88,2987
662.361,3007
662.842,3044
663.323,3029
663.805,3018
664.286,3054
664.767,2993
665.248,3022
665.729,2998
666.21,3070
666.691,3001
667.172,3022
667.654,3060
668.134,3065
668.615,3027
669.096,3096
669.577,2990
670.058,3008
670.539,2997
671.018,3054
671.499,3036
671.979,3038
672.46,3018
672.941,3055
673.422,3048
673.902,3049
674.383,3002
674.864,3078
675.344,3065
675.823,3061
676.303,3053
676.784,3077
677.264,3061
677.745,3047
678.225,3074
678.704,3053
679.184,3076
679.665,3081
680.145,3091
680.625,3032
681.104,3021
681.584,3017
682.064,3059
682.544,3116
683.025,3099
683.503,3118
683.983,3027
684.463,3013
684.943,3084
685.421,3045
685.901,3052
686.381,3042
686.861,3061
687.339,3101
687.819,3032
688.299,3087
688.779,3051
689.257,3045
689.737,3071
690.217,3017
690.694,3079
691.174,3094
691.654,3080
692.132,3062
692.611,3040
693.091,3068
693.569,3090
694.048,3079
694.528,3119
695.005,3075
695.485,3065
695.962,3042
696.442,3037
696.921,3078
697.399,3080
697.878,3032
698.356,3044
698.835,3060
699.314,3074
699.792,3102
700.271,3071
700.748,3085
701.227,3043
701.705,3018
702.184,3126
702.663,3070
703.14,3045
703.619,3064
704.096,3119
704.575,3107
705.052,3053
705.531,3050
706.008,3080
706.487,3062
706.964,3028
707.443,3078
707.92,2999
708.399,3063
708.876,3075
709.353,3026
709.831,3014
710.308,3034
710.787,3031
711.264,3096
711.742,3055
712.219,3038
712.698,3019
713.174,3018
713.651,3059
714.129,3033
714.606,3059
715.084,3061
715.561,3048
716.037,3114
716.516,3060
716.992,3098
717.468,2987
717.947,3046
718.423,3029
718.899,3067
719.378,3077
719.854,3021
720.33,3050
720.808,3086
721.285,3058
721.761,3042
722.239,3023
722.715,3092
723.191,3062
723.667,3076
724.145,3041
724.621,3095
725.097,3033
725.575,3064
726.051,3030
726.527,3053
727.003,3078
727.481,3040
727.956,3047
728.432,3043
728.908,3055
729.384,3000
729.862,3044
730.337,3069
730.813,3071
731.289,3067
731.764,3002
732.242,3062
732.717,3032
733.193,3083
733.668,3033
734.144,3028
734.619,3086
735.097,3097
735.572,3082
736.048,3079
736.523,3076
736.998,3093
737.474,3077
737.949,3094
738.424,3102
738.9,3072
739.377,3092
739.852,3129
740.327,3116
740.802,3089
741.278,3051
741.753,3084
742.228,3068
742.703,3066
743.178,3086
743.653,3116
744.128,3163
744.603,3110
745.078,3135
745.553,3127
746.027,3086
746.502,3055
746.977,3084
747.452,3077
747.927,3116
748.401,3135
748.876,3143
749.351,3098
749.826,3142
750.3,3142
750.775,3099
751.249,3175
751.724,3118
752.199,3101
752.673,3117
753.148,3022
753.62,3112
754.095,3110
754.569,3135
755.043,3063.56
755.518,3121.55
755.992,3098.83
756.466,3178.19
756.941,3137.44
757.415,3086.57
757.887,3163.1
758.362,3131.56
758.836,3146.13
759.31,3103.18
759.784,3158.11
760.258,3139.5
760.73,3129.02
761.204,3115.76
761.678,3140.98
762.152,3109.08
762.626,3102.94
763.098,3071.37
763.572,3115.69
764.046,3134.06
764.52,3131.66
764.994,3113.41
765.466,3095.14
765.94,3107.77
766.414,3130.99
766.887,3099.91
767.359,3091.92
767.833,3120.68
768.307,3136.16
768.778,3134.48
769.252,3110.1
769.726,3132.98
770.199,3144.41
770.671,3103.04
771.144,3115.48
771.618,3091.73
772.089,3106.6
772.563,3102.34
773.036,3129.61
773.508,3113.47
773.981,3144.93
774.455,3148.18
774.926,3141.67
775.399,3150.78
775.873,3153.59
776.344,3151.84
776.817,3144.07
777.288,3172.66
777.762,3162.01
778.235,3204.42
778.706,3207.58
779.179,3210.12
779.65,3280.58
780.123,3331.06
780.596,3425.94
781.068,3522.88
781.541,3586.64
782.012,3634.68
782.484,3602.27
782.955,3576.03
783.428,3550.1
783.899,3492.43
784.372,3442.5
784.843,3459.51
785.316,3451.09
785.789,3439.55
786.259,3516.52
786.732,3529.03
787.203,3535.34
787.674,3619.57
788.146,3706.39
788.617,3756.58
789.089,3849.66
789.56,3900.34
790.033,3932.49
790.503,3913.22
790.976,3881.47
791.446,3799.03
791.919,3708.81
792.389,3612.09
792.86,3564.86
793.332,3456.53
793.802,3401.65
794.275,3323.73
794.745,3293.81
795.215,3295.5
795.688,3264.2
796.158,3202.79
796.63,3147.55
797.1,3158.23
797.571,3141.37
798.043,3124.88
798.513,3145.04
798.983,3145.4
799.455,3120.72
799.925,3072.79
800.395,3068.43
800.867,3082.52
801.337,3051.8
801.807,3056.53
802.279,3068.03
802.749,3059.8
803.219,3033.06
803.254,3030
803.73,3029
804.206,3068
804.682,3051
805.157,3044
805.633,2976
806.109,3046
806.584,3009
807.06,2999
807.536,2924
808.011,2997
808.487,2999
808.962,2998
809.438,3048
809.913,3027
810.389,3018
810.864,2942
811.339,2967
811.815,2992
812.29,2990
812.766,2975
813.241,2954
813.716,3004
814.191,2977
814.667,2981
815.142,2993
815.617,2954
816.092,3010
816.567,2986
817.042,2922
817.517,3007
817.992,2970
818.467,2964
818.94,2972
819.415,2993
819.89,2969
820.365,3000
820.84,2952
821.315,2983
821.79,2950
822.265,2968
822.737,2940
823.212,2933
823.687,2945
824.162,2944
824.636,2946
825.111,2949
825.584,2906
826.058,2990
826.533,2957
827.007,2952
827.482,2936
827.954,2949
828.429,2876
828.903,2914
829.378,2960
829.852,2977
830.325,2948
830.799,3031
831.273,2917
831.748,2977
832.22,2914
832.694,2992
833.169,3027
833.643,3009
834.115,2952
834.589,2922
835.063,2950
835.535,2947
836.01,2965
836.484,2960
836.958,2909
837.43,2942
837.904,2938
838.378,2978
838.85,3009
839.323,3004
839.797,2956
840.269,2995
840.743,2945
841.217,2960
841.689,2954
842.163,2939
842.634,2976
843.108,3013
843.582,2974
844.053,2942
844.527,2948
845.001,3011
845.472,2953
845.946,2966
846.417,2946
846.891,2960
847.362,2929
847.836,2945
848.309,2948
848.781,2941
849.254,2909
849.726,2975
850.199,2949
850.67,2930
851.144,2907
851.615,2980
852.088,2972
852.559,2982
853.033,2984
853.504,2926
853.977,2956
854.448,3029
854.921,3006
855.392,2940
855.865,2968
856.336,3034
856.809,2960
857.28,3003
857.753,2975
858.224,2982
858.697,2922
859.168,2970
859.639,2961
860.112,2949
860.583,2994
861.055,3024
861.526,2998
861.997,2970
862.469,2924
862.94,3018
863.413,3000
863.883,3004
864.354,2986
864.827,2986
865.297,3034
865.77,2987
866.24,3013
866.711,2982
867.183,3013
867.654,3016
868.124,3036
868.597,2982
869.067,3028
869.537,3019
870.008,3026
870.48,3040
870.95,2998
871.42,3006
871.893,3025
872.363,3028
872.833,2992
873.305,2978
873.775,3011
874.245,3047
874.715,3002
875.188,2997
875.658,3005
876.128,3018
876.598,3000
877.068,2987
877.539,3055
878.009,2979
878.479,3058
878.949,2983
879.421,3016
879.891,3025
880.36,3063
880.83,3012
881.3,2994
881.77,3042
882.241,3057
882.711,3023
883.181,2979
883.65,3060
884.12,3053
884.589,3020
885.059,2945
885.53,3055
886,2964
886.469,3019
886.939,3036
887.408,3031
887.878,3006
888.347,3026
888.816,3040
889.286,3072
889.757,3030
890.226,3024
890.695,3039
891.165,3042
891.634,3030
892.103,3018
892.572,2999
893.041,3025
893.51,2955
893.98,3047
894.449,3000
894.918,3053
895.387,2983
895.856,3032
896.325,3052
896.794,3003
897.262,3055
897.731,3038
898.2,3042
898.669,3007
899.138,3062
899.607,3015
900.075,3046
900.544,3049
901.013,3006
901.481,2974
901.95,3038
902.419,3007
902.885,2928
903.354,2992
903.823,3029
904.291,3024
904.76,3032
905.228,3023
905.697,2992
906.165,3025
906.633,3008
907.1,2968
907.568,2990
908.036,3045
908.505,3001
908.973,2970
909.441,3008
909.91,3018
910.376,3028
910.844,2995
911.312,2976
911.78,2986
912.249,2967
912.717,2974
913.183,3014
913.651,2945
914.119,2954
914.587,3052
915.053,3001
915.521,2999
915.989,2957
916.457,3043
916.924,2989
917.39,3039
917.858,3043
918.326,2984
918.792,3001
919.26,3054
919.727,3013
920.195,2992
920.661,3032
921.128,3016
921.596,2959
922.062,2958
922.529,3008
922.997,2977
923.464,3017
923.93,3043
924.397,3002
924.865,3002
925.33,2973
925.798,3034
926.263,2959
926.731,3017
927.198,2980
927.663,3015
928.13,3000
928.598,3064
929.063,2989
929.53,2971
929.996,2970
930.463,2964
930.93,2992
931.395,3005
931.862,3001
932.327,2946
932.794,3035
933.259,3042
933.726,3058
934.193,3027
934.658,2957
935.125,3016
935.59,3024
936.057,3059
936.522,2996
936.989,3023
937.454,3022
937.92,3000
938.385,3022
938.852,3013
939.317,2986
939.783,3043
940.248,3002
940.715,3019
941.179,3016
941.646,3048
942.111,3033
942.575,3048
943.042,3013
943.506,3084
943.973,2990
944.437,3017
944.904,3027
945.368,3057
945.832,3066
946.299,3099
946.763,3007
947.229,3066
947.694,3006
948.158,3045
948.624,3069
949.089,3032
949.553,3037
950.019,3063
950.483,3054
950.949,3045
951.413,3108
951.877,3016
952.343,3034
952.807,3067
953.271,3089
953.735,3046
954.201,3048
954.665,3008
955.129,3018
955.595,3060
956.059,3037
956.523,3018
956.987,3008
957.453,3021
957.916,3062
958.38,3029
958.846,3083
959.309,3048
959.773,3067
960.237,3076
960.701,3058
961.166,3093
961.63,3072
962.093,3078
962.557,3088
963.022,3050
963.486,3093
963.949,3034
964.413,3149
964.876,3140
965.339,3076
965.805,3133
966.268,3180
966.732,3141
967.195,3164
967.658,3165
968.121,3186
968.585,3194
969.05,3186
969.513,3182
969.976,3239
970.439,3218
970.902,3234
971.365,3246
971.828,3116
972.292,3216
972.755,3240
973.218,3204
973.682,3123
974.145,3121
974.608,3125
975.071,3105
975.534,3084
975.997,3050
976.46,3106
976.923,3115
977.385,3076
977.848,3070
978.311,3070
978.773,3155
979.236,3084
979.699,2984
980.161,3056
980.624,3083
981.087,3088
981.549,3133
982.012,3088
982.474,3092
982.937,3116
983.399,3106
983.862,3041
984.324,3108
984.785,3098
985.247,3064
985.709,3085
986.172,3089
986.634,3167
987.096,3144
987.558,3103
988.021,3112
988.483,3108
988.945,3091
989.405,3155
989.867,3152
990.329,3096
990.792,3175
991.254,3056
991.716,3112
992.178,3123
992.638,3141
993.1,3095
993.562,3088
994.023,3062
994.485,3085
994.947,3096
995.407,3108
995.869,3080
996.331,3086
996.793,3022
997.252,3066
997.714,3079
998.176,3098
998.637,3070
999.099,3070
999.559,3118
1000.02,3068
1000.48,3058
1000.94,3088
1001.4,3059
1001.86,3092
1002.33,3096
1002.79,3073
1003.25,3014
1003.71,3112
1004.17,3084
1004.63,3113
1005.09,3193
1005.55,3097
1006.01,3119
1006.47,3129
1006.93,3087
1007.39,3129
1007.85,3092
1008.31,3132
1008.77,3080
1009.24,3118
1009.7,3056
1010.16,3114
1010.62,3066
1011.08,3108
1011.54,3068
1012,3084
1012.46,3127
1012.92,3053
1013.38,3072
1013.84,3072
1014.3,3072
1014.76,3052
1015.22,3013
1015.68,3064
1016.14,3062
1016.6,3046
1017.06,3080
1017.52,3087
1017.98,3024
1018.44,3028
1018.9,3086
1019.36,3046
1019.82,3062
1020.27,3028
1020.73,3007
1021.19,3057
1021.65,3062
1022.11,3106
1022.57,3064
1023.03,3016
1023.49,3081
1023.95,3044
1024.41,3065
1024.87,2996
1025.33,3071
1025.79,3049
1026.25,3048
1026.7,3024
1027.16,3070
1027.62,3101
1028.08,3081
1028.54,3047
1029,3028
1029.46,3041
1029.92,3051
1030.38,3009
1030.84,3032
1031.29,3086
1031.75,3021
1032.21,3044
1032.67,2997
1033.13,3079
1033.59,3024
1034.05,3076
1034.5,2958
1034.96,3026
1035.42,3056
1035.88,2989
1036.34,3034
1036.8,3008
1037.25,3046
1037.71,3034
1038.17,3029
1038.63,3014
1039.09,3021
1039.54,3050
1040,3042
1040.46,3038
1040.92,3014
1041.38,2980
1041.84,3013
1042.29,2969
1042.75,3025
1043.21,3012
1043.67,3020
1044.12,3051
1044.58,3040
1045.04,3073
1045.5,3064
1045.95,3029
1046.41,3010
1046.87,3058
1047.33,2962
1047.79,3068
1048.24,3035
1048.7,3008
1049.16,3047
1049.61,3027
1050.07,3020
1050.53,3094
1050.99,3077
1051.44,3020
1051.9,3065
1052.36,3031
1052.81,3014
1053.27,3037
1053.73,3036
1054.19,3072
1054.64,3087
1055.1,3020
1055.56,3098
1056.01,3070
1056.47,3063
1056.93,3059
1057.38,3063
1057.84,3063
1058.3,3030
1058.75,3030
1059.21,3084
1059.67,3037
1060.12,3089
1060.58,3073
1061.04,3110
1061.49,3069
1061.95,3062
1062.41,3078
1062.86,3051
1063.32,3104
1063.77,3026
1064.23,3040
1064.69,3039
1065.14,3114
1065.6,3028
1066.06,3076
1066.51,3041
1066.97,3055
1067.42,3129
1067.88,3075
1068.34,3078
1068.79,3123
1069.25,3038
1069.7,3119
1070.16,3005
1070.62,3052
1071.07,3064
1071.53,3107
1071.98,3112
1072.44,3064
1072.89,3062
1073.35,3107
1073.81,3062
1074.26,3082
1074.71,3072
1075.17,3134
1075.63,3116
1076.08,3060
1076.54,3070
1076.99,3099
1077.45,3102
1077.9,3063
1078.36,3068
1078.81,3064
1079.27,3088
1079.72,3114
1080.18,3120
1080.63,3121
1081.09,3105
1081.54,3075
1082,3028
1082.45,3077
1082.91,2991
1083.36,3156
1083.82,3088
1084.27,3073
1084.73,3110
1085.18,3134
1085.64,3050
1086.09,3087
1086.54,3078
1087,3133
1087.45,3088
1087.91,3105
1088.36,3151
1088.82,3101
1089.27,3132
1089.72,3094
1090.18,3127
1090.63,3109
1091.09,3148
1091.54,3115
1092,3137
1092.45,3120
1092.9,3113
1093.36,3163
1093.81,3092
1094.27,3100
1094.72,3149
1095.17,3128
1095.63,3139
1096.08,3173
1096.54,3112
1096.99,3195
1097.44,3159
1097.9,3200
1098.35,3146
1098.8,3181
1099.26,3156
1099.71,3170
1100.17,3211
1100.62,3178
1101.07,3259
1101.52,3191
1101.98,3225
1102.43,3199
1102.88,3250
1103.34,3262
1103.79,3262
1104.24,3243
1104.7,3263
1105.15,3288
1105.6,3256
1106.06,3303
1106.51,3289
1106.96,3282
1107.41,3268
1107.87,3245
1108.32,3238
1108.78,3302
1109.23,3288
1109.68,3269
1110.13,3239
1110.59,3210
1111.04,3214
1111.49,3204
1111.94,3158
1112.4,3179
1112.85,3162
1113.3,3202
1113.75,3155
1114.21,3222
1114.66,3234
1115.11,3176
1115.56,3138
